Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,No_of_Votes,Publish_Date,Publish_year
Clifford's War: The Bluegrass Battleground,-,J. Denison Reed ,Action-Adventure,4.42,33,16,4,2021-05-27,2021
Jurassic Park ,Jurassic Park,Michael Crichton,Action-Adventure,4.09,944442,19172,307,1990-07-11,1990
Sunburst ,Sky King Ranch,Susan May Warren ,Action-Adventure,4.43,1467,335,2,2022-01-06,2022
The Paris Apartment,-,Lucy Foley ,Action-Adventure,3.67,473386,40240,3,2022-02-22,2022
Dempsey ,Tier One,Brian  Andrews ,Action-Adventure,4.58,1708,86,13,2023-02-21,2023
The Stranger,-,Albert Camus,Action-Adventure,4.02,1052428,46265,3,1942-05-19,1942
She: A History of Adventure ,She,H. Rider Haggard,Action-Adventure,3.57,12879,1168,10,1887-01-01,1887
Riptide - Mörderische Flut,-,Douglas Preston ,Action-Adventure,3.97,19548,805,31,1998-01-06,1998
Performance Anomalies,-,Victor Robert Lee ,Action-Adventure,3.66,162,89,4,2012-12-20,2012
The Hobbit ,The Lord of the Rings,J.R.R. Tolkien,Action-Adventure,4.29,3872315,68421,291,1937-09-21,1937
The Woman in the Window,-,A.J. Finn,Action-Adventure,3.95,759175,58768,9,2018-02-01,2018
Desperation in Death ,In Death,J.D. Robb ,Action-Adventure,4.58,22037,1655,3,2022-06-09,2022
Troubled Sea,-,Jinx Schwartz ,Action-Adventure,4.18,1367,129,2,2009-12-05,2009
The Rose Code,-,Kate Quinn ,Action-Adventure,4.46,233104,20929,13,2021-09-03,2021
The Subtle Knife ,His Dark Materials,Philip Pullman,Action-Adventure,4.15,430815,12635,3,1997-07-22,1997
Defender of the North ,Defender of England,Corey Holst ,Action-Adventure,4.29,28,7,3,2011-12-01,2011
The Hunger Games ,The Hunger Games,Suzanne Collins,Action-Adventure,4.33,8444021,212733,252,2008-09-14,2008
Front Lines ,Front Lines,Michael  Grant ,Action-Adventure,4.09,5976,1036,2,2016-01-26,2016
Altar of Eden,-,James Rollins ,Action-Adventure,4.04,19484,1009,6,2009-10-12,2009
Naked in Death ,In Death,J.D. Robb ,Action-Adventure,4.13,190510,7534,3,1995-01-07,1995
The Surgeon,-,Leslie Wolfe ,Action-Adventure,3.96,28376,1700,13,2023-03-28,2023
Code Red ,Mitch Rapp,Vince Flynn,Action-Adventure,4.43,10303,435,30,2023-12-09,2023
Reliquary ,Pendergast,Douglas Preston ,Action-Adventure,4.03,46171,1852,10,1997-01-01,1997
Cat's Cradle,-,Kurt Vonnegut Jr.,Action-Adventure,4.16,397192,14901,4,1963-01-01,1963
The Fellowship of the Ring ,The Lord of the Rings,J.R.R. Tolkien,Action-Adventure,4.39,2769394,37693,229,1954-07-29,1954
Silent Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.14,25989,698,3,1992-01-01,1992
Seven Deadly Wonders ,Jack West Jr,Matthew Reilly,Action-Adventure,4.09,28352,1363,30,2005-12-20,2005
Ward D,-,Freida McFadden ,Action-Adventure,4.05,109660,8034,13,2023-08-05,2023
Enemy Of My Enemy,-,Travis Casey ,Action-Adventure,4.19,58,12,7,2016-02-26,2016
Fear and Loathing in Las Vegas,-,Hunter S. Thompson,Action-Adventure,4.07,344774,8994,3,1971-07-07,1971
Bat Blood: The Devil's Claw,-,Richard Myerscough ,Action-Adventure,3.76,50,8,3,2013-07-02,2013
The Da Vinci Code ,Robert Langdon,Dan Brown ,Action-Adventure,3.91,2320841,54145,208,2003-03-18,2003
Factotum,-,Charles Bukowski,Action-Adventure,3.93,68931,2565,14,1975-01-01,1975
Nor the Years Condemn,-,Justin Sheedy,Action-Adventure,4.38,39,10,2,2011-10-09,2011
Orope - The White Snake ,Whisperers of the Gods,Guenevere Lee ,Action-Adventure,4.01,79,24,3,2018-06-03,2018
Locked On ,Jack Ryan Universe #14; Jack Ryan Jr.,Tom Clancy,Action-Adventure,4.09,15614,788,3,2011-12-13,2011
What She Found ,Tracy Crosswhite,Robert Dugoni ,Action-Adventure,4.39,21049,864,4,2022-08-23,2022
A Team of One: An Unsanctioned Asset Thriller ,The Unsanctioned Asset Series Book,Brad Lee,Action-Adventure,4.58,2498,84,29,2021-09-30,2021
Dancing Bear,-,Oren Sanderson ,Action-Adventure,3.65,84,11,3,2014-06-08,2014
The Lion's Game ,John Corey,Nelson DeMille ,Action-Adventure,4.22,37238,1550,15,2000-06-01,2000
Cinder ,The Lunar Chronicles,Marissa Meyer ,Action-Adventure,4.13,907050,68137,3,2012-03-01,2012
Cold Vengeance ,Pendergast,Douglas Preston ,Action-Adventure,4.11,25920,1581,3,2011-02-08,2011
A Town Like Alice,-,Nevil Shute,Action-Adventure,4.15,57477,4364,10,1950-01-01,1950
Wraith ,Nick Baron,James R. Hannibal ,Action-Adventure,4.06,102,14,3,2010-04-05,2010
Best Kept Secret ,The Clifton Chronicles,Jeffrey Archer ,Action-Adventure,4.03,47350,2797,5,2013-04-30,2013
The Girl with the Dragon Tattoo ,Millennium,Stieg Larsson,Action-Adventure,4.17,3134191,76653,192,2005-01-08,2005
The Great Action ,Super Indy Book,Alex Letner,Action-Adventure,4.77,69,3,3,2015-07-29,2015
The Tuzla Run,-,Robert  Davidson ,Action-Adventure,3.63,19,7,2,2010-01-01,2010
The Breach ,Travis Chase,Patrick  Lee ,Action-Adventure,4.01,9441,791,13,2009-10-12,2009
Logan's Run,-,William F. Nolan,Action-Adventure,3.65,11985,815,3,1967-01-01,1967
The Hourglass Throne ,The Tarot Sequence,K.D. Edwards ,Action-Adventure,4.58,4068,677,4,2022-05-17,2022
The Bourne Identity ,Jason Bourne,Robert Ludlum,Action-Adventure,4.05,430765,5373,145,1980-04-02,1980
The Alchemy Fire Murder: a Mary Wandwalker Mystery,-,Susan  Rowland ,Action-Adventure,4.31,5757,20,29,2023-02-15,2023
The Man in the Iron Mask,-,Alexandre Dumas,Action-Adventure,3.99,65385,1064,9,1850-01-01,1850
Riding the Devil ,Harry Bauer,Blake Banner,Action-Adventure,4.52,2969,39,12,2023-02-13,2023
In the Pines ,"Columbia River, #3; Mercy Kilpatrick",Kendra Elliot ,Action-Adventure,4.39,13625,446,4,2022-08-16,2022
Porno ,Mark Renton,Irvine Welsh,Action-Adventure,3.83,24890,705,3,2002-01-01,2002
Off the Grid ,Joe Pickett,C.J. Box,Action-Adventure,4.29,18913,1312,29,2016-08-03,2016
Street Raised,-,Pearce Hansen ,Action-Adventure,3.81,75,13,2,2006-01-11,2006
First Blood,-,David Morrell ,Action-Adventure,4.04,9505,860,8,1972-01-01,1972
The Count of Monte Cristo,-,Alexandre Dumas,Action-Adventure,4.3,903121,30882,138,1844-08-28,1844
The Chronicles of Narnia ,The Chronicles of Narnia,C.S. Lewis,Action-Adventure,4.27,640775,12370,3,1956-01-01,1956
The Horror at Murden Cove ,A Thomas Austin Crime Thriller,D.D. Black,Action-Adventure,4.39,2089,63,12,2023-06-02,2023
The Inmate,-,Freida McFadden ,Action-Adventure,4.1,268371,21450,4,2022-06-13,2022
"Nocturne, Opus 1: Sea Foam",-,Norene Moskalski ,Action-Adventure,3.76,1450,14,2,2012-10-30,2012
River God,-,Wilbur Smith,Action-Adventure,4.22,40176,1843,8,1993-01-01,1993
The Hunt for Red October ,Jack Ryan,Tom Clancy,Action-Adventure,4.11,372369,4007,138,1984-10-28,1984
Murder Board ,Boston Crime Thriller,Brian Christopher Shea ,Action-Adventure,4.17,5542,157,12,2019-10-15,2019
The Princess Bride,-,William Goldman,Action-Adventure,4.27,890953,25430,31,1973-01-09,1973
Shadow Team GB ,Starbirth,J.M. Johnson ,Action-Adventure,4.76,98,12,7,2015-06-06,2015
The Hard Way ,Jack Reacher,Lee Child ,Action-Adventure,4.19,81273,3372,2,2006-05-16,2006
Hawke ,Alexander Hawke,Ted Bell ,Action-Adventure,3.89,7561,384,3,2003-03-06,2003
Blowback ,Scot Harvath,Brad Thor ,Action-Adventure,4.18,20346,616,13,2005-06-28,2005
The Return of the King ,The Lord of the Rings,J.R.R. Tolkien,Action-Adventure,4.56,881832,17529,126,1955-10-20,1955
Primal Fear ,Vail/Stampler,William Diehl,Action-Adventure,4.23,9521,457,4,1992-01-26,1992
The Jester,-,James Patterson ,Action-Adventure,3.81,20144,1153,7,2003-03-03,2003
Sutherland's Rules,-,Dario Ciriello ,Action-Adventure,4.16,31,11,2,2013-01-02,2013
Divergent ,Divergent,Veronica Roth ,Action-Adventure,4.15,3891127,119358,120,2011-04-25,2011
The Perfect Child,-,Lucinda Berry ,Action-Adventure,4.06,109868,10575,4,2019-01-03,2019
Lonesome Dove ,Lonesome Dove,Larry McMurtry,Action-Adventure,4.53,185713,11213,31,1985-01-01,1985
The Informers,-,Bret Easton Ellis,Action-Adventure,3.39,18771,717,3,1994-07-26,1994
The Bourne Supremacy ,Jason Bourne,Robert Ludlum,Action-Adventure,4.11,178856,1386,14,1986-11-02,1986
Valor's Choice ,Confederation,Tanya Huff,Action-Adventure,3.99,8455,547,2,2000-01-04,2000
Big Trouble,-,Dave Barry ,Action-Adventure,3.83,14906,879,5,1999-09-13,1999
World Without End ,Kingsbridge,Ken Follett ,Action-Adventure,4.3,245860,13172,30,2007-04-10,2007
Red Rabbit ,Jack Ryan,Tom Clancy,Action-Adventure,3.73,31471,924,10,2002-08-26,2002
The Soul Whisperer: A Tale of Hidden Truths and Unspoken Possibilities,-,J.M. Harrison ,Action-Adventure,3.97,34,22,3,2016-02-26,2016
All Good People Here,-,Ashley Flowers ,Action-Adventure,3.85,188971,20422,4,2022-08-16,2022
Where the Deer Dwell,-,Dorothy Gravelle ,Action-Adventure,3.71,72,10,2,2012-07-05,2012
Nutshell,-,Ian McEwan ,Action-Adventure,3.68,52219,6370,2,2016-01-09,2016
A Game of Thrones ,A Song of Ice and Fire,George R.R. Martin,Action-Adventure,4.44,2448531,62576,118,1996-06-08,1996
The Afghan,-,Frederick Forsyth,Action-Adventure,3.75,13832,740,13,2006-08-22,2006
Kill Shot ,Mitch Rapp,Vince Flynn,Action-Adventure,4.31,53328,2364,9,2012-07-02,2012
Inferno ,Robert Langdon,Dan Brown ,Action-Adventure,3.88,544978,39146,32,2013-05-14,2013
Hetta Coffey Collection Boxed Set Books 1-4 ,Hetta Coffey Mystery,Jinx Schwartz ,Action-Adventure,4.49,119,6,2,2013-05-15,2013
The 40 Minute War,-,Janet E. Morris ,Action-Adventure,3.89,197,21,3,1980-01-01,1980
Occupant,-,G.J. Swenson ,Action-Adventure,4.8,5,1,2,2013-05-05,2013
Winter of the World ,The Century Trilogy,Ken Follett ,Action-Adventure,4.37,158487,9028,8,2012-09-18,2012
Murder in the Family,-,Cara Hunter ,Action-Adventure,3.81,21124,3458,28,2023-09-19,2023
The IX  ,The IX,Andrew P. Weston ,Action-Adventure,3.45,477,76,4,2015-01-26,2015
Catching Fire ,The Hunger Games,Suzanne Collins,Action-Adventure,4.32,3469776,120711,115,2009-01-09,2009
Hard Wired: A Crash Course in Small College Football,-,Jebb A. Rebal ,Action-Adventure,3.72,65,3,2,2012-12-13,2012
Tripwire  ,Jack Reacher,Lee Child ,Action-Adventure,4.11,121635,4748,10,1999-06-28,1999
Keeping Secrets,-,L.A. Dobbs ,Action-Adventure,4.22,8091,251,12,2017-05-15,2017
Exodus,-,Leon Uris,Action-Adventure,4.34,98637,2096,4,1958-01-09,1958
The Doors of Perception / Heaven and Hell,-,Aldous Huxley,Action-Adventure,3.93,46912,1954,2,1956-01-01,1956
Black Eagle ,Jason Trapp Thriller Book,Jack     Slater ,Action-Adventure,4.51,2672,85,28,2021-07-31,2021
The Lord of the Rings,-,J.R.R. Tolkien,Action-Adventure,4.52,666399,14370,108,1955-10-20,1955
Hunt at the Well of Eternity ,Gabriel Hunt,Gabriel Hunt,Action-Adventure,3.35,321,57,3,2009-04-28,2009
Nemesis ,The Nemesis Series,L.J. Martin ,Action-Adventure,4.2,486,36,2,2011-01-22,2011
The Girl with Ghost Eyes,-,M.H. Boroson,Action-Adventure,3.86,4284,739,7,2015-03-11,2015
Captain Blood,-,Rafael Sabatini,Action-Adventure,4.18,16414,1104,2,1922-01-01,1922
Prince Caspian ,Chronicles of Narnia,C.S. Lewis,Action-Adventure,3.98,430118,11364,4,1951-10-15,1951
The Judas Strain ,Sigma Force,James Rollins ,Action-Adventure,4.17,32591,1404,29,2007-02-07,2007
Tarzan of the Apes ,Tarzan,Edgar Rice Burroughs,Action-Adventure,3.9,44469,3141,15,1912-01-10,1912
The Three Musketeers,-,Alexandre Dumas,Action-Adventure,4.09,318131,9202,106,1844-01-01,1844
The Inner World Adventure,-,Wayne Reinagel ,Action-Adventure,3.6,10,1,2,2013-01-01,2013
The Assassin's Betrayal ,Jason Drake,Auston King,Action-Adventure,4.28,3037,89,27,2020-10-30,2020
The Memoirs of Sherlock Holmes ,Sherlock Holmes,Arthur Conan Doyle,Action-Adventure,4.3,96459,3034,5,1893-01-12,1893
Wicked Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.18,18661,864,4,2009-12-05,2009
The Client,-,John Grisham ,Action-Adventure,4.05,442201,3189,8,1993-01-03,1993
Treasure Island,-,Robert Louis Stevenson,Action-Adventure,3.84,481131,16009,101,1882-01-28,1882
The Man in the Brown Suit,-,Agatha Christie,Action-Adventure,3.95,109553,3609,2,1924-08-22,1924
The Old Man and the Sea,-,Ernest Hemingway,Action-Adventure,3.8,1121008,38243,5,1952-01-01,1952
Agency Rules - Never an Easy Day at the Office,-,Khalid Muhammad ,Action-Adventure,4.18,375,92,26,2014-01-01,2014
Trainspotting ,Mark Renton,Irvine Welsh,Action-Adventure,4.1,165993,3855,12,1993-01-01,1993
The Girl in the Spider's Web ,Millennium,David Lagercrantz,Action-Adventure,3.8,158243,14000,3,2015-01-01,2015
Ghost Country ,Travis Chase,Patrick  Lee ,Action-Adventure,4.1,6174,433,3,2010-12-28,2010
The 13th Warrior,-,Michael Crichton,Action-Adventure,3.7,41588,2110,9,1976-12-03,1976
Shōgun ,Asian Saga,James Clavell,Action-Adventure,4.4,174677,5770,29,1975-01-06,1975
The Starbirth Assignment: Shifter ,Starbirth,J.M. Johnson ,Action-Adventure,4.1,63,10,3,2016-05-07,2016
Without Fail ,Jack Reacher,Lee Child ,Action-Adventure,4.16,103997,3208,14,2002-05-13,2002
Mockingjay ,The Hunger Games,Suzanne Collins,Action-Adventure,4.08,3139891,126080,95,2010-08-24,2010
Vampire Chimeras,-,L.A. Kragie ,Action-Adventure,4.38,13,6,2,2013-08-11,2013
And the Ass Saw the Angel,-,Nick Cave,Action-Adventure,3.85,10509,670,2,1989-01-01,1989
Running Blind ,Jack Reacher,Lee Child ,Action-Adventure,4.12,105291,4507,9,2000-01-01,2000
The White Company ,Dover Books on Literature &,Arthur Conan Doyle,Action-Adventure,3.9,4404,321,6,1891-01-01,1891
Tempus Unbound,-,Janet E. Morris ,Action-Adventure,4.14,115,15,3,1989-01-11,1989
Sunstruck,-,Melissa Bellis ,Action-Adventure,4.69,32,12,11,2023-09-06,2023
The Rules of Attraction,-,Bret Easton Ellis,Action-Adventure,3.72,46643,1938,2,1987-01-09,1987
Misery,-,Stephen King ,Action-Adventure,4.21,679536,24905,5,1987-08-06,1987
The Cardinal of the Kremlin ,Jack Ryan,Tom Clancy,Action-Adventure,4.08,55786,948,28,1988-07-28,1988
Patriot Games ,Jack Ryan,Tom Clancy,Action-Adventure,4.16,205022,1805,91,1987-04-08,1987
"Deadly Pretty Strangers: One dead body, one bereaved mother, one small favour ...",-,Max Thorn,Action-Adventure,4.31,39,15,6,2017-12-11,2017
Echo Burning ,Jack Reacher,Lee Child ,Action-Adventure,4.04,91687,3774,5,2001-06-25,2001
Phantom Wolf ,Phantom Wolf,Kia Carrington-Russell ,Action-Adventure,3.55,2170,47,2,2014-06-16,2014
The Blade Artist ,Mark Renton,Irvine Welsh,Action-Adventure,3.82,7149,464,2,2016-07-04,2016
A Scanner Darkly,-,Philip K. Dick,Action-Adventure,4.02,100929,4090,3,1977-01-01,1977
Worst Case ,Michael Bennett,James Patterson ,Action-Adventure,4.07,29624,1583,5,2010-01-02,2010
Ivanhoe,-,Walter Scott,Action-Adventure,3.76,94234,3028,26,1819-01-12,1819
The Wasp Factory,-,Iain Banks,Action-Adventure,3.78,95470,6159,13,1984-01-01,1984
Proportionate Response,-,Dave Buschi ,Action-Adventure,4.08,444,27,6,2012-10-02,2012
The Rook ,The Checquy Files,Daniel O'Malley,Action-Adventure,4.1,58096,7543,2,2012-11-01,2012
The Lost World ,Jurassic Park,Michael Crichton,Action-Adventure,3.84,152097,5673,81,1995-09-17,1995
The Vanished Man ,Lincoln Rhyme,Jeffery Deaver ,Action-Adventure,4.1,22709,1012,6,2003-11-03,2003
Redwall ,Redwall,Brian Jacques,Action-Adventure,4.13,117860,5043,4,1986-01-01,1986
The Genetic Lottery ,Egalia,Allison Goh ,Action-Adventure,3.65,52,11,2,2014-01-07,2014
Never Lie,-,Freida McFadden ,Action-Adventure,4.13,338297,26132,24,2022-09-19,2022
Thicker than Blood,-,Don Brobst ,Action-Adventure,4.49,93,16,6,2020-02-27,2020
Harry Potter and the Sorcerer's Stone ,Harry Potter,J.K. Rowling,Action-Adventure,4.47,9802237,157515,83,1997-06-26,1997
Requiem for a Dream,-,Hubert Selby Jr.,Action-Adventure,4.1,59946,1749,12,1978-01-01,1978
The Goldfinch,-,Donna Tartt,Action-Adventure,3.94,908069,75127,4,2013-09-23,2013
The Running Man,-,Richard Bachman ,Action-Adventure,3.89,130250,5102,3,1982-01-05,1982
Unwind ,Unwind,Neal Shusterman ,Action-Adventure,4.17,225858,21771,5,2007-06-11,2007
The Firm,-,Robin Waterfield ,Action-Adventure,4.06,620023,3725,9,1991-01-02,1991
Bridges: An Extraordinary Journey of the Heart,-,W.S. Williamson,Action-Adventure,3.73,15,1,2,2014-11-04,2014
The Last Sentinel ,Clayton White,Simon Gervais ,Action-Adventure,4.32,3516,114,24,2022-09-08,2022
Counter Identity ,Remmich/Miller,Karl Braungart ,Action-Adventure,4.31,3872,13,79,2021-01-10,2021
The Burning Bridge ,Ranger's Apprentice,John Flanagan,Action-Adventure,4.31,123582,4144,3,2005-02-05,2005
The Andromeda Strain ,Andromeda,Michael Crichton,Action-Adventure,3.91,253178,5619,14,1969-01-09,1969
The Last Refuge ,Dewey Andreas,Ben Coes ,Action-Adventure,4.3,8767,368,2,2012-03-07,2012
Tijuana Nights ,Nights Series,Leigh K. Hunt ,Action-Adventure,4.35,48,28,2,2014-07-26,2014
Arctic Drift ,Dirk Pitt,Clive Cussler,Action-Adventure,3.95,14672,718,6,2008-11-25,2008
The Water Knife,-,Paolo Bacigalupi ,Action-Adventure,3.85,25666,3385,2,2015-05-26,2015
Pursuit of Honor ,Mitch Rapp,Vince Flynn,Action-Adventure,4.35,43242,1144,8,2009-10-13,2009
White Fang,-,Jack London,Action-Adventure,4.02,187146,6184,28,1906-01-05,1906
And Then There Were None,-,Agatha Christie,Action-Adventure,4.28,1313523,61768,79,1939-06-11,1939
Storm Front  ,Virgil Flowers,John Sandford,Action-Adventure,3.98,18193,1424,5,2013-01-01,2013
The Runaway Jury,-,John Grisham ,Action-Adventure,4.02,302104,2674,5,1996-01-01,1996
The Adventures of Armstrong Dent: The Complete First Season,-,Aeyess ,Action-Adventure,4.44,27,8,6,2014-12-19,2014
Around the World in Eighty Days,-,Jules Verne,Action-Adventure,3.94,243089,10789,15,1872-06-11,1872
Beneath Creek Waters,-,Jason L. Bradshaw ,Action-Adventure,4.55,20,9,2,2009-01-01,2009
The Lost Scrolls ,Twisted Roots,Shelly Goodman Wright ,Action-Adventure,4.19,16,3,2,2014-11-11,2014
The House of Hades ,The Heroes of Olympus,Rick Riordan ,Action-Adventure,4.56,395568,21123,2,2013-08-10,2013
Dune ,Dune,Frank Herbert,Action-Adventure,4.26,1295923,58116,79,1965-01-06,1965
Fight Club,-,Chuck Palahniuk ,Action-Adventure,4.19,582703,20966,25,1996-08-17,1996
Brainrush ,Brainrush,Richard Bard,Action-Adventure,3.88,5474,516,3,2010-03-23,2010
61 Hours ,Jack Reacher,Lee Child ,Action-Adventure,4.12,88450,4747,5,2010-03-18,2010
Master & Commander ,Aubrey & Maturin,Patrick O'Brian,Action-Adventure,4.07,57022,4093,9,1969-01-01,1969
Veterans of the Psychic Wars,-,Wayne Gerard Trotman ,Action-Adventure,3.76,82,19,2,2010-12-21,2010
A Clockwork Orange,-,Anthony Burgess,Action-Adventure,4.0,703018,20052,26,1962-01-01,1962
Deception Point,-,Dan Brown ,Action-Adventure,3.75,665168,10979,77,2001-01-01,2001
Ice Hunt,-,James Rollins ,Action-Adventure,4.06,18745,654,13,2003-01-07,2003
Words of Radiance ,The Stormlight Archive,Brandon Sanderson ,Action-Adventure,4.76,333167,20215,2,2014-04-03,2014
The Ark ,Tyler Locke,Boyd Morrison,Action-Adventure,3.84,5921,520,7,2009-01-30,2009
Naked Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.25,20694,676,4,2003-12-05,2003
Dividers,-,Travis Adams Irish,Action-Adventure,3.7,105,32,2,2014-09-30,2014
"Tinker, Tailor, Soldier, Spy",-,John le Carré,Action-Adventure,4.06,93180,5312,5,1974-01-04,1974
"The Lion, the Witch and the Wardrobe ",Chronicles of Narnia,C.S. Lewis,Action-Adventure,4.23,2738724,32116,8,1950-10-16,1950
Lost Identity,-,Karl Braungart ,Action-Adventure,4.29,6523,20,23,2021-08-31,2021
The Dentist ,DS Cross Mysteries,Tim  Sullivan ,Action-Adventure,4.22,6953,408,11,2020-10-06,2020
The Way of Kings ,The Stormlight Archive,Brandon Sanderson ,Action-Adventure,4.66,471619,33341,2,2010-08-31,2010
A Superior Death ,Anna Pigeon,Nevada Barr,Action-Adventure,3.91,11562,772,4,1994-01-01,1994
Hades' Disciples ,The Legacy of the Gods,Michael  West ,Action-Adventure,3.88,88,11,4,2014-01-05,2014
The Sum of All Fears ,Jack Ryan,Tom Clancy,Action-Adventure,4.06,62023,934,78,1991-08-14,1991
Greegs & Ladders,-,Zack Mitchell,Action-Adventure,3.05,272,13,2,2013-06-22,2013
The Time Machine,-,H.G. Wells,Action-Adventure,3.89,511493,15809,28,1895-01-01,1895
Personal ,Jack Reacher,Lee Child ,Action-Adventure,3.98,73519,4482,9,2014-02-09,2014
Richter 10,-,Arthur C. Clarke,Action-Adventure,3.54,956,59,2,1996-01-01,1996
The Warrior Heir ,The Heir Chronicles,Cinda Williams Chima ,Action-Adventure,3.94,52332,3461,4,2006-03-28,2006
Dead End Girl ,Violet Darger,L.T. Vargus ,Action-Adventure,4.19,21666,1103,6,2017-12-04,2017
The Two Towers ,The Lord of the Rings,J.R.R. Tolkien,Action-Adventure,4.48,943737,18452,79,1954-11-11,1954
Lunar Park,-,Bret Easton Ellis,Action-Adventure,3.64,28570,1269,12,2005-08-16,2005
Burned Out,-,Dean Mafako ,Action-Adventure,4.3,6076,54,23,2023-01-16,2023
Blasphemy ,Wyman Ford,Douglas Preston ,Action-Adventure,3.72,10715,834,4,2008-08-01,2008
To Russia With Love ,Countermeasure,Chris Almeida ,Action-Adventure,4.59,116,39,2,2012-07-20,2012
Girl Missing ,Kaitlyn Carr,Kate Gable ,Action-Adventure,3.93,9812,380,11,2021-07-06,2021
The Pillars of the Earth ,Kingsbridge,Ken Follett ,Action-Adventure,4.34,753482,36899,75,1989-01-10,1989
Atlantis Found ,Dirk Pitt,Clive Cussler,Action-Adventure,4.01,27685,884,9,1999-10-26,1999
Caitlin Star and the Rise of the Barbarians ,Caitlin Star,James J. Caterino ,Action-Adventure,4.78,41,14,2,2015-04-24,2015
Never Fade ,The Darkest Minds,Alexandra Bracken ,Action-Adventure,4.21,96373,7692,2,2013-10-15,2013
Survivor,-,Chuck Palahniuk ,Action-Adventure,3.93,117437,4176,3,1999-02-17,1999
Pirate Latitudes,-,Michael Crichton,Action-Adventure,3.48,48654,4836,12,2009-11-24,2009
The Immortal Coil ,The Immortal Coil,J. Armand,Action-Adventure,3.49,239,12,2,2014-01-05,2014
Term Limits,-,Vince Flynn,Action-Adventure,4.33,36026,1447,8,1997-12-31,1997
Hidden Pictures,-,Jason Rekulak ,Action-Adventure,4.14,204732,23304,23,2022-10-05,2022
For Whom the Bell Tolls,-,Ernest Hemingway,Action-Adventure,3.98,289741,8744,6,1940-01-10,1940
Ice Station ,Shane Schofield,Matthew Reilly,Action-Adventure,4.12,32574,1499,65,1998-01-08,1998
Kisscut ,Grant County,Karin Slaughter ,Action-Adventure,4.08,53828,2756,11,2002-01-01,2002
The Color of Jade ,Jade,Mae Redding ,Action-Adventure,4.5,12,7,2,2015-12-07,2015
Hidden Prey ,Lucas Davenport,John Sandford,Action-Adventure,4.12,18732,609,4,2004-11-05,2004
The Hard Times,-,Russell Scott,Action-Adventure,4.1,20,6,2,2015-01-09,2015
White Oleander,-,Janet Fitch ,Action-Adventure,3.99,350841,8921,2,1999-01-01,1999
Beyond Sanctuary,-,Janet E. Morris ,Action-Adventure,3.9,1940,44,4,1985-01-01,1985
Mount Dragon,-,Douglas Preston ,Action-Adventure,3.95,17461,478,6,1996-01-01,1996
The Young Elites ,The Young Elites,Marie Lu ,Action-Adventure,3.87,134651,15127,3,2014-07-10,2014
The Beast of Cretacea,-,Todd Strasser ,Action-Adventure,4.1,577,102,22,2015-10-13,2015
Summit: A Novel,-,Harry Farthing ,Action-Adventure,4.2,1560,208,2,2014-01-21,2014
The Postman Always Rings Twice,-,James M. Cain,Action-Adventure,3.77,42318,3392,11,1934-01-01,1934
The Last Juror,-,John Grisham ,Action-Adventure,3.93,98750,2907,5,2004-03-02,2004
Congo,-,Michael Crichton,Action-Adventure,3.62,170180,2756,67,1980-01-01,1980
Mystic River,-,Dennis Lehane ,Action-Adventure,4.17,143866,4807,3,2001-01-01,2001
Bad Blood ,Virgil Flowers,John Sandford,Action-Adventure,4.21,30119,1403,6,2010-09-21,2010
Extreme Measures ,Mitch Rapp,Vince Flynn,Action-Adventure,4.33,52940,1123,8,2008-10-20,2008
The Bachman Books,-,Richard Bachman ,Action-Adventure,4.14,72259,1046,2,1986-01-01,1986
Vagabonds in France,-,Michael  A. Barry,Action-Adventure,3.81,70,11,2,2016-12-24,2016
Peter Pan,-,J.M. Barrie,Action-Adventure,4.04,343132,16035,5,1911-12-27,1911
The Shining ,The Shining,Stephen King ,Action-Adventure,4.27,1455254,37477,25,1977-01-28,1977
State of the Union ,Scot Harvath,Brad Thor ,Action-Adventure,4.22,27579,667,12,2004-01-27,2004
The Adventures of Huckleberry Finn,-,Mark Twain,Action-Adventure,3.83,1257082,19224,6,1884-02-18,1884
Killing Floor,-,Lee Child ,Action-Adventure,4.07,311963,13609,67,1997-01-01,1997
Doctor Sleep ,The Shining,Stephen King ,Action-Adventure,4.13,256396,23037,3,2013-09-24,2013
The Girl Who Played with Fire ,Millennium,Stieg Larsson,Action-Adventure,4.25,913446,36935,68,2006-01-06,2006
Left Behind ,Left Behind,Tim LaHaye,Action-Adventure,3.85,230821,4384,5,1995-09-29,1995
Treasure ,Dirk Pitt,Clive Cussler,Action-Adventure,3.95,15494,397,8,1988-01-11,1988
Last of the Breed,-,Louis L'Amour,Action-Adventure,4.27,13270,1165,12,1986-01-06,1986
Ulysses,-,James Joyce,Action-Adventure,3.75,126645,9235,3,1922-02-02,1922
All Systems Down ,The Cyber War,Sam Boush ,Action-Adventure,3.79,250,83,2,2018-08-02,2018
The Charm School,-,Nelson DeMille ,Action-Adventure,4.28,37709,1644,23,1988-01-04,1988
Soulless ,Parasol Protectorate,Gail Carriger ,Action-Adventure,3.9,109916,11045,4,2009-04-09,2009
Hollow Kingdom ,Hollow Kingdom,Kira Jane Buxton ,Action-Adventure,3.84,19938,4181,2,2019-06-08,2019
